Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,94,13584989,70375,108,FALSE
1020,25,17561772,40000,-36,FALSE
1030,33,3825247,108900,0,FALSE
1070,14,2005117,271000,9,FALSE
1080,22,2389059,65000,25,FALSE
1090,213,195666600,125000,90,FALSE
1100,42,5278500,34500,37,FALSE
1111,87,32408575,163250,146,FALSE
1120,4,2207000,522500,0,TRUE
1130,11,1403875,100000,10,FALSE
1140,40,2222601,37500,6,FALSE
1150,1,0,NA,0,TRUE
1151,66,57713243,151109,96,FALSE
1160,24,1946250,46437.5,23,FALSE
1170,17,559518,56250,1,FALSE
1180,47,6525505,45000,24,FALSE
1210,23,673287,40000,0,FALSE
1220,7,2546967,25000,0,TRUE
1230,53,15258946,137750,33,FALSE
1240,13,545752,20000,2,FALSE
1250,32,3726625,78250,28,FALSE
1270,3,460000,120000,0,TRUE
2010,2,106507,106507,0,TRUE
2020,28,3621676,74062.5,6,FALSE
2030,18,1172000,87794,8,FALSE
2040,32,2477851,55000,26,FALSE
2050,10,27900,6900,0,FALSE
2060,12,580766,10000,1,FALSE
2070,26,1377500,67500,0,FALSE
2080,22,1219891,16000,0,FALSE
2090,29,2956875,167250,32,FALSE
2100,38,2480085,35000,15,FALSE
2110,39,774415,19345,2,FALSE
2120,13,3896000,150000,0,FALSE
2130,10,286000,20000,0,FALSE
2145,58,162727890,1222625,794,FALSE
2160,15,11218355,5000,0,FALSE
2230,29,2006211,35000,17,FALSE
2241,19,4996950,40000,2,FALSE
2251,30,8299299,40000,0,FALSE
2260,13,164400,20000,-1,FALSE
2270,8,16600,5000,0,TRUE
2280,62,7717783,292000,26,FALSE
2290,22,5252156,49000,0,FALSE
2311,54,22086160,434750,62,FALSE
2320,8,1915000,365000,0,TRUE
2330,57,12355904,60000,29,FALSE
2340,27,1227500,31000,-1,FALSE
2350,13,1200000,37500,0,FALSE
2360,2,97000,97000,0,TRUE
2380,7,540483,40000,0,TRUE
2390,8,49000,24500,0,TRUE
2400,15,404912,20000,-1,FALSE
2410,18,298500,36250,-1,FALSE
2420,25,1693500,30000,12,FALSE
2430,18,471250,25000,1,FALSE
2440,121,17490280,200000,78,FALSE
2450,15,80000,25000,0,FALSE
2462,290,48522797,216000,216,FALSE
2463,47,5159250,26999.5,27,FALSE
2500,10,1374375,28500,1,FALSE
2511,11,130900,33500,0,FALSE
2522,230,37829227,45000,182,FALSE
2530,6,535625,267812.5,4,TRUE
2541,9,1749000,40000,0,TRUE
2550,37,1379775,30000,15,FALSE
2560,25,1603583,22500,20,FALSE
2580,11,835594,75000,0,FALSE
2590,5,250000,250000,0,TRUE
2600,10,0,NA,0,FALSE
2611,280,34215497,176875,157,FALSE
2640,4,2600000,2600000,0,TRUE
2650,1,650000,650000,0,TRUE
2660,13,794863,50000,0,FALSE
2670,2,394000,197000,0,TRUE
2671,203,36806175,211000,175,FALSE
2681,1,20000,20000,0,TRUE
2690,3,0,NA,0,TRUE
2692,53,13083605,280062.5,43,FALSE
2700,73,15694737,150000,37,FALSE
2710,5,1560000,780000,0,TRUE
2720,13,1259000,100000,0,FALSE
3010,18,1022500,150000,6,FALSE
3020,7,21454620,350000,100,TRUE
3030,15,192500,34000,0,FALSE
3040,12,1357625,165000,1,FALSE
3050,3,330000,40000,0,TRUE
3060,18,126500,5000,-1,FALSE
3070,42,2876775,40000,32,FALSE
3080,18,163840,20000,0,FALSE
3090,10,90950,45475,1,FALSE
3111,190,130567516,212437.5,660,FALSE
3120,13,88000,22500,0,FALSE
3140,61,6767375,228375,35,FALSE
3150,29,323500,13500,0,FALSE
3160,11,2420000,24000,0,FALSE
3170,28,2171515,117570,21,FALSE
3180,30,37082000,50000,0,FALSE
3190,58,10831830,271125,39,FALSE
3200,102,21138475,162250,56,FALSE
3210,66,6843100,40000,44,FALSE
3220,4,145000,40000,0,TRUE
3230,11,8400002,60000,0,FALSE
3240,93,10835557,150000,101,FALSE
3250,23,1411000,80000,8,FALSE
3260,26,1589439,40000,8,FALSE
3270,49,4060124,284875,12,FALSE
3280,10,107700,7000,0,FALSE
3290,5,1645000,120000,0,TRUE
3300,20,593450,20000,0,FALSE
3310,32,2419679,181750,24,FALSE
3320,22,154000,12000,0,FALSE
3330,93,9119824,258750,27,FALSE
3340,8,1624197,74423.5,0,TRUE
3350,57,32761370,199250,66,FALSE
3360,7,14323491,125000,0,TRUE
3370,45,845783,19000,0,FALSE
3382,4,2070000,157500,0,TRUE
3390,12,700334,20000,0,FALSE
3410,26,188309,30000,0,FALSE
3430,21,243800,18000,1,FALSE
3440,124,21808409,78750,79,FALSE
3450,18,2559879,75000,0,FALSE
3460,12,16943501,42500.5,0,FALSE
3470,28,1250012,30000,0,FALSE
3480,15,134000,33500,0,FALSE
4010,6,138850,11000,0,TRUE
4011,1,584000,584000,0,TRUE
4013,1,20000,20000,0,TRUE
4014,1,1750000,1750000,0,TRUE
4020,35,8427225,27500,1,FALSE
4023,3,25000,5000,0,TRUE
4030,8,13269185,80000,0,TRUE
4040,20,105400,5000,0,FALSE
4050,7,3131000,100000,0,TRUE
4060,43,4496775,65000,43,FALSE
4070,4,167625,167625,1,TRUE
4080,8,1173111,155000,0,TRUE
4090,25,8650519,51500,89,FALSE
4100,3,380000,125000,0,TRUE
4110,7,411381,100690.5,0,TRUE
4120,11,1154450,23500,2,FALSE
4130,7,1266069,85000,0,TRUE
4140,12,6759027,52801,0,FALSE
4150,3,128366,10250,0,TRUE
4160,12,742162,10000,0,FALSE
4170,2,307650,153825,0,TRUE
4180,77,19403972,197750,86,FALSE
4190,1,45000,45000,0,TRUE
4200,38,3617825,211500,40,FALSE
4210,3,345000,100000,0,TRUE
4220,19,172500,15000,0,FALSE
4230,43,4339442,144812.5,36,FALSE
4240,22,353000,32500,0,FALSE
4261,2,350000,350000,0,TRUE
4270,16,131000,15000,0,FALSE
4280,23,3739001,52000,5,FALSE
4290,24,844750,96500,8,FALSE
4300,20,4455271,82000,0,FALSE
4310,30,12049789,150000,6,FALSE
4320,29,19532378,125000,0,FALSE
4330,5,2757738,36225,0,TRUE
4340,3,325000,40000,0,TRUE
4350,5,1271935,45435,0,TRUE
4360,17,537000,57500,0,FALSE
4380,14,1013381,15000,0,FALSE
4390,14,1933962,75000,5,FALSE
4400,13,2944558,149999,0,FALSE
4410,2,155000,77500,0,TRUE
4420,6,274000,137000,0,TRUE
