year,n_permits,n_neighbourhoods,n_suppressed,n_aggregated,n_no_data,geojson_path,file_size_mb
2009,9431,328,137,191,80,permit_neighbourhoods_2009.geojson,1.88
2010,10113,327,137,190,81,permit_neighbourhoods_2010.geojson,1.88
2011,10573,335,139,196,74,permit_neighbourhoods_2011.geojson,1.88
2012,12446,338,113,225,71,permit_neighbourhoods_2012.geojson,1.88
2013,13373,351,129,222,58,permit_neighbourhoods_2013.geojson,1.88
2014,15927,350,97,253,59,permit_neighbourhoods_2014.geojson,1.88
2015,15396,350,98,252,58,permit_neighbourhoods_2015.geojson,1.88
2016,14325,358,106,252,52,permit_neighbourhoods_2016.geojson,1.88
2017,14374,365,121,244,44,permit_neighbourhoods_2017.geojson,1.88
2018,13890,356,111,245,53,permit_neighbourhoods_2018.geojson,1.88
2019,13436,363,113,250,46,permit_neighbourhoods_2019.geojson,1.88
2020,13055,361,130,231,48,permit_neighbourhoods_2020.geojson,1.88
2021,15152,371,116,255,38,permit_neighbourhoods_2021.geojson,1.88
2022,14959,369,107,262,40,permit_neighbourhoods_2022.geojson,1.88
2023,14092,370,99,271,39,permit_neighbourhoods_2023.geojson,1.88
2024,17507,372,97,275,37,permit_neighbourhoods_2024.geojson,1.88
2025,16312,367,92,275,41,permit_neighbourhoods_2025.geojson,1.88
2026,6173,349,193,156,59,permit_neighbourhoods_2026.geojson,1.88
