Assessment Year,n,min,p25,median,mean,p75,p95,max
2012,310647,0,191500,297000,301220.03688431054,381000,576000,36954000
2013,319282,0,193500,301500,306539.1916581305,388000,586500,37107500
2014,329242,0,194000,309500,313601.9265464242,396500,604000,40423000
2015,340871,0,201000,329000,332000.84049400414,421500,643500,44701500
2016,354379,0,202000,331500,332498.4390298651,427000,644000,45009500
2017,362435,0,194500,325000,323645.0108295862,414500,630500,44863500
2018,369540,0,189000,324500,324379.7559127343,417000,643000,41611500
2019,372377,0,185000,324000,325574.46807932033,418500,647500,42416000
2020,378708,0,176000,313000,315907.40359333274,406000,636000,42312000
2021,383700,0,173500,307500,311155.1568152504,399500,626000,43911500
2022,388761,0,170500,323000,324483.17533134314,421500,655500,49525000
2023,394971,0,169000,338000,338504.5008367412,446000,688750,24804000
2024,252641,0,336500,410500,454976.93960997683,515500,788000,24930500
2025,401167,0,188000,369000,372632.62805761676,491000,758500,25361500
