zoning,description,family,status,date_curated,curated_by
A,River Valley,Parks and Open Space,RATIFIED,2026-07-25,CC
A1,Fort Edmonton Park Special Area,Parks and Open Space,RATIFIED,2026-07-25,CC
A2,Muttart Conservatory Special Area,Parks and Open Space,RATIFIED,2026-07-25,CC
A3,Louise McKinney Riverfront Special Area,Parks and Open Space,RATIFIED,2026-07-25,CC
A4,Edmonton Valley Zoo Special Area,Parks and Open Space,RATIFIED,2026-07-25,CC
A5,Buena Vista Park Special Area,Parks and Open Space,RATIFIED,2026-07-25,CC
A6,River Crossing Special Area,Parks and Open Space,RATIFIED,2026-07-25,CC
A7,William Hawrelak Park Zone,Parks and Open Space,RATIFIED,2026-07-25,CC
AED,Arena and Entertainment District Zone,Civic and Public Service,RATIFIED,2026-07-25,CC
AES,Agricultural Edmonton South,Agricultural and Rural,RATIFIED,2026-07-25,CC
AG,Agriculture Zone,Agricultural and Rural,RATIFIED,2026-07-25,CC
AJ,Alternative Jurisdiction,Alternative Jurisdiction,RATIFIED,2026-07-25,CC
ALA,Ambleside Low Rise Apartment,Residential,RATIFIED,2026-07-25,CC
ASC,Ambleside Shopping Centre,Commercial,RATIFIED,2026-07-25,CC
AUVC,Ambleside Urban Village Commercial,Mixed Use,RATIFIED,2026-07-25,CC
BE,Business Employment,Industrial and Employment,RATIFIED,2026-07-25,CC
BLMR,Blatchford Low to Medium Rise Residential,Residential,RATIFIED,2026-07-25,CC
BMR,Blatchford Medium Rise Residential Zone,Residential,RATIFIED,2026-07-25,CC
BP,Blatchford Parks,Parks and Open Space,RATIFIED,2026-07-25,CC
BRH,Blatchford Row Housing,Residential,RATIFIED,2026-07-25,CC
CB,Business Commercial,Commercial,RATIFIED,2026-07-25,CC
CCA,Core Commercial Arts Zone,Commercial,RATIFIED,2026-07-25,CC
CCHD,Clareview Campus High Density Residential,Residential,RATIFIED,2026-07-25,CC
CCLD,Clareview Campus Low Density Residential,Residential,RATIFIED,2026-07-25,CC
CCMD,Clareview Campus Medium Density Residential,Residential,RATIFIED,2026-07-25,CC
CCNC,Clareview Campus Neighbourhood Commercial,Commercial,RATIFIED,2026-07-25,CC
CCSD,Clareview Campus Single Detached Residential,Residential,RATIFIED,2026-07-25,CC
CG,General Commercial,Commercial,RATIFIED,2026-07-25,CC
CMU,Commercial Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
CMUV,Central McDougall Urban Village Special Area,Mixed Use,RATIFIED,2026-07-25,CC
CN,Neighbourhood Commercial,Commercial,RATIFIED,2026-07-25,CC
CPMU,Century Park Mixed Use Zone,Mixed Use,RATIFIED,2026-07-25,CC
CPT,Century Park Transition Zone,Mixed Use,RATIFIED,2026-07-25,CC
DC,Direct Control,Direct Control,RATIFIED,2026-07-25,CC
DC1,Direct Development Control Provision,Direct Control,RATIFIED,2026-07-25,CC
DC2,Site Specific Development Control Provision,Direct Control,RATIFIED,2026-07-25,CC
DC/INDES,Direct Control / Industrial District Edmonton South,Direct Control,RATIFIED,2026-07-25,CC
ECB,Ellerslie Commercial Business Zone,Commercial,RATIFIED,2026-07-25,CC
EETC,Edmonton Energy & Technology ParkChemical Cluster Zone,Industrial and Employment,RATIFIED,2026-07-25,CC
EETIM,Edmonton Energy and Technology Medium Industrial,Industrial and Employment,RATIFIED,2026-07-25,CC
EETL,Edmonton Energy & Technology Park Logistics zone,Industrial and Employment,RATIFIED,2026-07-25,CC
EETM,Edmonton Energy & Technology Park Manufacturing Zone,Industrial and Employment,RATIFIED,2026-07-25,CC
EETR,Edmonton Energy & Technology Park Industrial Reserve Zone,Industrial and Employment,RATIFIED,2026-07-25,CC
EIB,Ellerslie Industrial Business Zone,Industrial and Employment,RATIFIED,2026-07-25,CC
EIM,Ellerslie Medium Industrial Zone,Industrial and Employment,RATIFIED,2026-07-25,CC
FD,Future Urban Development,Future and Reserve,RATIFIED,2026-07-25,CC
GLD,Griesbach Low Density Residential Zone,Residential,RATIFIED,2026-07-25,CC
GLDF,Griesbach Low Density Residential Flex,Residential,RATIFIED,2026-07-25,CC
GLRA,Griesbach Low Rise Apartment,Residential,RATIFIED,2026-07-25,CC
GMRA,Griesbach Medium Rise Apartment,Residential,RATIFIED,2026-07-25,CC
GRH,Griesbach Row Housing,Residential,RATIFIED,2026-07-25,CC
GVC,Griesbach Village Centre Zone,Mixed Use,RATIFIED,2026-07-25,CC
HA,Heritage Area Zone,Civic and Public Service,RATIFIED,2026-07-25,CC
HDR,High Density Residential Zone,Residential,RATIFIED,2026-07-25,CC
IBES,Industrial Business Edmonton South,Industrial and Employment,RATIFIED,2026-07-25,CC
IH,Heavy Industrial,Industrial and Employment,RATIFIED,2026-07-25,CC
ILES,Light Industrial Edmonton South,Industrial and Employment,RATIFIED,2026-07-25,CC
IM,Medium Industrial,Industrial and Employment,RATIFIED,2026-07-25,CC
JAMSC,Jasper Avenue Main Street Commercial Zone,Commercial,RATIFIED,2026-07-25,CC
MED,Marquis Entertainment District,Civic and Public Service,RATIFIED,2026-07-25,CC
MMS,Marquis Main Street Zone,Commercial,RATIFIED,2026-07-25,CC
MMUT,Marquis Mixed Use Transition Zone,Mixed Use,RATIFIED,2026-07-25,CC
MRC,Marquis Retail Centre Zone,Commercial,RATIFIED,2026-07-25,CC
MU,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h12 f2.2 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h12 f3,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h12 f3.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h14 f1.8,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h14 f2.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f0.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f2,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f2.3,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f2.3 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f3,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f3.5,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h16 f3.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
MU h18 f3.5 cf,Mixed Use,Mixed Use,RATIFIED,2026-07-25,CC
