year,n_total,n_mapped,n_no_coord,n_no_value,pct_no_coord
2009,9471,9216,255,142,0.0269
2010,10211,9820,391,123,0.0383
2011,10642,10291,351,129,0.033
2012,12492,12067,425,172,0.034
2013,13413,12967,446,140,0.0333
2014,15963,15399,564,158,0.0353
2015,15437,14856,581,162,0.0376
2016,14362,13767,595,181,0.0414
2017,14417,13704,713,166,0.0495
2018,13925,13207,718,970,0.0516
2019,13456,13048,408,3698,0.0303
2020,13088,12805,283,3603,0.0216
2021,15170,14820,350,3923,0.0231
2022,14978,14678,300,4088,0.02
2023,14093,13805,288,5033,0.0204
2024,17505,16013,1492,5352,0.0852
2025,16312,11687,4625,4210,0.2835
2026,7404,4876,2528,1890,0.3414
