year,job_category,n
2009,Other Miscellaneous Building,2553
2009,House Combination,2474
2009,Commercial Final,1379
2009,Accessory Building Combination,1243
2009,Uncovered Deck Combination,1192
2009,"Single, Semi-detached & Rowhousing",429
2009,Commercial Footing / Foundation,92
2009,Commercial Structural Framing,58
2009,Mobile Home Move On,26
2009,Commercial Demolition,25
2010,House Combination,3297
2010,Other Miscellaneous Building,2649
2010,Commercial Final,1361
2010,Accessory Building Combination,1232
2010,Uncovered Deck Combination,896
2010,"Single, Semi-detached & Rowhousing",552
2010,Commercial Footing / Foundation,86
2010,Commercial Demolition,56
2010,Commercial Structural Framing,52
2010,Mobile Home Move On,29
2010,Commercial Excavation,1
2011,House Combination,3189
2011,Other Miscellaneous Building,2813
2011,Commercial Final,1541
2011,Accessory Building Combination,1337
2011,Uncovered Deck Combination,900
2011,"Single, Semi-detached & Rowhousing",646
2011,Commercial Footing / Foundation,101
2011,Commercial Demolition,62
2011,Commercial Structural Framing,45
2011,Mobile Home Move On,6
2011,Commercial Excavation,2
2012,House Combination,3557
2012,Other Miscellaneous Building,3069
2012,Commercial Final,1825
2012,Accessory Building Combination,1614
2012,Uncovered Deck Combination,1197
2012,"Single, Semi-detached & Rowhousing",999
2012,Commercial Footing / Foundation,139
2012,Commercial Demolition,42
2012,Commercial Structural Framing,41
2012,Mobile Home Move On,7
2012,Commercial Excavation,2
2013,House Combination,4110
2013,Other Miscellaneous Building,3459
2013,Commercial Final,1752
2013,Accessory Building Combination,1649
2013,Uncovered Deck Combination,1214
2013,"Single, Semi-detached & Rowhousing",1000
2013,Commercial Footing / Foundation,119
2013,Commercial Demolition,64
2013,Commercial Structural Framing,35
2013,Mobile Home Move On,11
2014,House Combination,4798
2014,Other Miscellaneous Building,4253
2014,Accessory Building Combination,1970
2014,Commercial Final,1953
2014,Uncovered Deck Combination,1471
2014,"Single, Semi-detached & Rowhousing",1290
2014,Commercial Footing / Foundation,120
2014,Commercial Structural Framing,49
2014,Commercial Demolition,46
2014,Mobile Home Move On,12
2014,Commercial Excavation,1
2015,Other Miscellaneous Building,4552
2015,House Combination,3879
2015,Commercial Final,2110
2015,Accessory Building Combination,1824
2015,Uncovered Deck Combination,1606
2015,"Single, Semi-detached & Rowhousing",1263
2015,Commercial Footing / Foundation,119
2015,Commercial Demolition,35
2015,Commercial Structural Framing,35
2015,Mobile Home Move On,12
2015,Commercial Excavation,2
2016,Other Miscellaneous Building,4782
2016,House Combination,3052
2016,Commercial Final,2251
2016,Uncovered Deck Combination,1574
2016,Accessory Building Combination,1530
2016,"Single, Semi-detached & Rowhousing",942
2016,Commercial Footing / Foundation,121
2016,Commercial Demolition,49
2016,Commercial Structural Framing,44
2016,Mobile Home Move On,10
2016,Commercial Excavation,7
2017,Other Miscellaneous Building,4619
2017,House Combination,3626
2017,Commercial Final,2250
2017,Accessory Building Combination,1521
2017,Uncovered Deck Combination,1333
2017,"Single, Semi-detached & Rowhousing",884
2017,Commercial Footing / Foundation,89
2017,Commercial Structural Framing,52
2017,Commercial Demolition,36
2017,Mobile Home Move On,4
2017,Commercial Excavation,3
2018,Other Miscellaneous Building,3674
2018,"Single, Semi-detached & Rowhousing",2821
2018,Commercial Final,2348
2018,House Combination,1730
2018,Home Improvement,1308
2018,Uncovered Deck Combination,1042
2018,Accessory Building Combination,992
2018,Commercial Demolition,4
2018,Mobile Home Move On,4
2018,Commercial Footing / Foundation,2
2019,Home Improvement,6892
2019,"Single, Semi-detached & Rowhousing",3856
2019,Commercial Final,2395
2019,Other Miscellaneous Building,210
2019,Accessory Building Combination,54
2019,House Combination,24
2019,Uncovered Deck Combination,24
2019,Mobile Home Move On,1
2020,Home Improvement,6896
2020,"Single, Semi-detached & Rowhousing",3926
2020,Commercial Final,2204
2020,Other Miscellaneous Building,27
2020,Accessory Building Combination,14
2020,Uncovered Deck Combination,12
2020,House Combination,5
2020,Mobile Home Move On,4
2021,Home Improvement,7613
2021,"Single, Semi-detached & Rowhousing",5010
2021,Commercial Final,2493
2021,Other Miscellaneous Building,27
2021,Uncovered Deck Combination,10
2021,Mobile Home Move On,9
2021,Accessory Building Combination,7
2021,House Combination,1
2022,Home Improvement,7258
2022,"Single, Semi-detached & Rowhousing",5272
2022,Commercial Final,2429
2022,Other Miscellaneous Building,8
2022,Mobile Home Move On,7
2022,Accessory Building Combination,2
2022,Uncovered Deck Combination,2
2023,Home Improvement,8142
2023,"Single, Semi-detached & Rowhousing",3659
2023,Commercial Final,2273
2023,Mobile Home Move On,12
2023,Other Miscellaneous Building,4
2023,Accessory Building Combination,3
2024,Home Improvement,9450
2024,"Single, Semi-detached & Rowhousing",5612
2024,Commercial Final,2424
2024,Mobile Home Move On,17
2024,Other Miscellaneous Building,1
2025,Home Improvement,8435
2025,"Single, Semi-detached & Rowhousing",5184
2025,Commercial Final,2677
2025,Mobile Home Move On,12
2025,Other Miscellaneous Building,2
2026,Home Improvement,4188
2026,"Single, Semi-detached & Rowhousing",2306
2026,Commercial Final,1262
