Neighbourhood ID,Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed,yoy_pct_change
1010,ALBERTA AVENUE,2289,284745.9589340327,264000,90340.55983050787,1943,6.509392747924858,281055.6074766355,384.039426635514,FALSE,7.878087785311438
1020,BOYLE STREET,1077,170430.36211699137,103500,591299.0061405369,1981,93.87186629526462,707219.6969696968,497.2472727272728,FALSE,6.4860634202040925
1030,CENTRAL MCDOUGALL,956,171270.3974895395,108500,185151.07557801352,1978,88.17991631799164,427818.58407079644,688.0883628318584,FALSE,5.688737440205142
1070,CROMDALE,705,210263.82978723355,128000,240830.77071777274,1979,78.58156028368795,573072.8476821191,552.1288940397351,FALSE,-1.165061721997525
1080,DELTON,735,323876.1904761905,306500,102103.99833469285,1953,3.537414965986395,322666.4315937941,524.1339619181946,FALSE,10.300693441387663
1090,DOWNTOWN,5722,243674.67668647767,214500,200284.6474049631,2003,99.860188745194,397437.5,359.557125,FALSE,0.9975145056819524
1100,EASTWOOD,1050,282896.6666666669,279000,123811.19169938678,1969,22.952380952380953,316216.3164400493,519.2649456118664,FALSE,9.881092392078477
1111,BLATCHFORD AREA,415,381021.68674698926,156000,297756.2116998466,2024,8.19277108433735,380082.6771653551,240.1312283464567,FALSE,19.06958477202067
1120,EDMONTON NORTHLANDS,11,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
1130,ELMWOOD PARK,395,305275.9493670887,328500,134701.9074167969,1960,16.20253164556962,350820.2416918429,676.4115528700906,FALSE,13.941953524974512
1140,MCCAULEY,816,284188.72549019626,253500,395332.1232228296,1947,10.049019607843137,288464.5776566757,363.8584128065395,FALSE,6.519619955654191
1151,WÎHKWÊNTÔWIN,7475,216063.41137124083,166500,190611.6073237302,1979,98.06020066889633,581234.4827586206,295.5493310344827,FALSE,-0.5988041844622557
1160,PARKDALE,1431,247770.09084556258,248500,108443.58966661854,1955,30.398322851153043,286096.38554216875,411.19691666666665,FALSE,12.409061302145744
1170,PRINCE RUPERT,476,336738.4453781515,374250,152435.7064570232,1953,24.369747899159663,407619.44444444444,585.1399444444445,FALSE,10.240193361808112
1180,QUEEN MARY PARK,2117,213501.4170996691,179500,148059.33563759644,1992,81.34152102031176,451310.1265822785,757.9583696202532,FALSE,3.6988569369340625
1190,RIVER VALLEY KINNAIRD,1,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
1210,RIVERDALE,865,537819.6531791905,485500,443117.38013337797,2002,36.1849710982659,655599.6376811592,511.3869764492753,FALSE,4.421772947748642
1220,ROSSDALE,356,516313.2022471908,494750,280435.24686523376,1993,35.674157303370784,647244.541484716,317.5988864628821,FALSE,3.7041271680349075
1230,SPRUCE AVENUE,537,342364.9906890129,337000,127452.36132135746,1949,17.318435754189945,362860.3603603604,588.5383378378378,FALSE,11.537674111260289
1240,VIRGINIA PARK,206,452859.2233009706,387000,294917.9540099967,1951,11.165048543689322,498300.54644808755,484.0054153005464,FALSE,6.333339057938961
1250,WESTWOOD,680,319405.88235294144,320750,175689.00960205038,1968,32.64705882352941,402049.1266375547,573.8683646288209,FALSE,13.052955591600082
2010,ABBOTTSFIELD,376,169148.93617021278,165500,10637.438234771642,1972,100,NA,NA,FALSE,10.16748019863764
2020,BALWIN,1238,307486.2681744749,332000,99151.3433987867,1963,8.319870759289175,320040.52863436134,535.5263066079295,FALSE,12.155520157780686
